Target: http://shoppy.htb/
Total requests: 100000
==================================================================
ID    Response   Lines      Word         Chars          Request    
==================================================================
00007:  C=301      7 L	      11 W	    169 Ch	  "ns1"
00015:  C=301      7 L	      11 W	    169 Ch	  "mail2"
00031:  C=301      7 L	      11 W	    169 Ch	  "2"
00030:  C=301      7 L	      11 W	    169 Ch	  "mail1"
00003:  C=301      7 L	      11 W	    169 Ch	  "remote"
00001:  C=301      7 L	      11 W	    169 Ch	  "www"
00032:  C=301      7 L	      11 W	    169 Ch	  "forum"
00029:  C=301      7 L	      11 W	    169 Ch	  "1"
00028:  C=301      7 L	      11 W	    169 Ch	  "cloud"
00027:  C=301      7 L	      11 W	    169 Ch	  "email"
00026:  C=301      7 L	      11 W	    169 Ch	  "mx"
00025:  C=301      7 L	      11 W	    169 Ch	  "ww42"
00024:  C=301      7 L	      11 W	    169 Ch	  "bbs"
00023:  C=301      7 L	      11 W	    169 Ch	  "web"
00022:  C=301      7 L	      11 W	    169 Ch	  "dev"
00021:  C=301      7 L	      11 W	    169 Ch	  "support"
00020:  C=301      7 L	      11 W	    169 Ch	  "host"
00019:  C=301      7 L	      11 W	    169 Ch	  "ww1"
00013:  C=301      7 L	      11 W	    169 Ch	  "shop"
00014:  C=301      7 L	      11 W	    169 Ch	  "ftp"
00018:  C=301      7 L	      11 W	    169 Ch	  "ns"
00017:  C=301      7 L	      11 W	    169 Ch	  "portal"
00016:  C=301      7 L	      11 W	    169 Ch	  "test"
00012:  C=301      7 L	      11 W	    169 Ch	  "m"
00008:  C=301      7 L	      11 W	    169 Ch	  "ns2"
00009:  C=301      7 L	      11 W	    169 Ch	  "smtp"
00011:  C=301      7 L	      11 W	    169 Ch	  "vpn"
00010:  C=301      7 L	      11 W	    169 Ch	  "secure"
00006:  C=301      7 L	      11 W	    169 Ch	  "server"
00005:  C=301      7 L	      11 W	    169 Ch	  "webmail"
00004:  C=301      7 L	      11 W	    169 Ch	  "blog"
00002:  C=301      7 L	      11 W	    169 Ch	  "mail"
00033:  C=301      7 L	      11 W	    169 Ch	  "owa"
00068:  C=301      7 L	      11 W	    169 Ch	  "iuyuy"
00047:  C=301      7 L	      11 W	    169 Ch	  "hgfgdf"
00039:  C=301      7 L	      11 W	    169 Ch	  "cdn"
00035:  C=301      7 L	      11 W	    169 Ch	  "gw"
00063:  C=301      7 L	      11 W	    169 Ch	  "tgtggb"
00066:  C=301      7 L	      11 W	    169 Ch	  "wqwqw"
00065:  C=301      7 L	      11 W	    169 Ch	  "oilkjm"
00067:  C=301      7 L	      11 W	    169 Ch	  "mkuu"
00062:  C=301      7 L	      11 W	    169 Ch	  "static"
00064:  C=301      7 L	      11 W	    169 Ch	  "staging"
00061:  C=301      7 L	      11 W	    169 Ch	  "wxsxc"
00060:  C=301      7 L	      11 W	    169 Ch	  "home"
00059:  C=301      7 L	      11 W	    169 Ch	  "tgrrre"
00058:  C=301      7 L	      11 W	    169 Ch	  "demo"
00057:  C=301      7 L	      11 W	    169 Ch	  "my"
00056:  C=301      7 L	      11 W	    169 Ch	  "dsasa"
